FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4,CD8,CD25,FoxP3,BV786-A,CD3,PE-A,IL2,PerCP-Cy5-5-A,APC-A,CD44,APC-Cy7-A,Time,source_file,Alexa Fluor 488-A,PerCP-A,BV421-A,BV510-A,BV605-A,BV650-A,BB515-A,PE-CF594-A,APC-R700-A,anomaly,true_label,feat_0,feat_1,feat_2,feat_3,feat_4,0,1,2,cluster,UMAP_1,UMAP_2
60801.594,60832.344,216979.44,51748.215,53036.992,129204.92,151.37802,21.84813,582.7498,3980.4314,829.2542,14.872899,55.489487,570.4585,1995.3429,20205.672,3135.4915,4806.0356,10.191,gated_data.csv,,,,,,,,,,0,1,0.16164781,0.060601056,0.63789344,0.012915249,-0.017207518,,,,,,
32238.572,33066.547,194016.02,29288.705,30199.508,113634.01,180.98932,1322.5405,1193.9865,1946.6686,1403.2872,118.104996,394.3819,217.09755,366.42743,629.94684,447.30804,4034.5842,10.527841,gated_data.csv,,,,,,,,,,0,1,0.18614197,0.10546862,0.76902044,0.040842704,-0.015150332,,,,,,
65749.766,65866.2,212904.34,39073.832,40358.227,115312.71,65.30371,68.24797,534.77594,2639.4768,1134.799,6.967308,166.47646,484.37604,2086.4346,1202.9222,665.66266,6869.2363,10.555064,gated_data.csv,,,,,,,,,,0,1,-0.1362421,0.019387025,-0.54795545,-0.040848486,-0.02110389,,,,,,
58281.668,58755.92,213273.95,42890.57,43186.94,124598.25,-0.85778993,263.7644,133.30862,1509.0242,1644.5548,22.380625,130.57973,201.56438,1164.0457,1274.8433,687.8967,10417.498,10.711057,gated_data.csv,,,,,,,,,,1,1,0.791223,0.4679957,2.7722208,0.10889523,-0.0024305931,,,,,,
79976.46,84622.805,203099.58,53799.945,55691.16,128791.414,-2.8021138,55.55512,-78.05888,2726.171,1387.1035,-33.72915,307.82672,38.774902,170.32674,36793.035,6052.665,12582.084,10.820713,gated_data.csv,,,,,,,,,,0,1,-0.026398055,-0.094627395,-0.18114844,-0.028710425,-0.017135374,,,,,,
47546.15,50580.453,192050.78,49695.906,49590.645,145505.84,14.7382145,205.81592,575.03314,3018.5059,1131.0819,19.800083,188.21811,925.7848,2519.636,2800.7844,753.8922,4890.2964,10.853361,gated_data.csv,,,,,,,,,,0,1,-0.1347726,0.03565468,-0.09228652,-0.008251601,-0.01525594,,,,,,
59709.258,60980.934,210792.4,36149.027,38048.414,117999.664,-47.235638,259.0126,479.71005,2567.8801,733.1245,34.777836,160.8827,618.09235,2526.8408,915.83655,352.10596,1891.6887,11.108001,gated_data.csv,,,,,,,,,,0,1,-0.029302036,-0.0508349,-0.38439015,-0.033928163,-0.021327201,,,,,,
75100.62,74627.09,207495.05,33546.88,33778.47,112014.49,-34.02567,110.474594,35.575027,0.060759414,1413.981,4.258261,-38.272255,35.917274,136.11795,1545.8921,747.3144,10612.929,11.231561,gated_data.csv,,,,,,,,,,0,1,-0.2498106,0.01825934,-0.5883714,-0.02740797,-0.00017408906,,,,,,
68843.945,69425.586,211275.05,36592.676,38238.496,112565.26,28.332174,201.89119,65.23745,1509.6532,1340.3253,-1.7438198,125.224205,-11.288939,21.114254,14896.22,3275.2017,10385.696,11.418129,gated_data.csv,,,,,,,,,,0,1,0.45282087,0.31034756,0.8726752,0.039075274,-0.0101455385,,,,,,
33277.7,34924.098,196700.11,30595.584,31512.143,112538.9,197.31847,2515.7266,2533.3967,3253.2542,1893.6,350.51077,659.89813,410.4741,744.28986,1549.2626,695.23553,597.8312,11.5876255,gated_data.csv,,,,,,,,,,0,1,0.38867173,0.2085932,1.463645,0.049817212,-0.008074809,,,,,,
