FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,CD4,CD8,CD25,FoxP3,BV786-A,CD3,PE-A,IL2,PerCP-Cy5-5-A,APC-A,CD44,APC-Cy7-A,Time
56698.156,56202.645,212731.58,42737.93,43049.582,134451.0,232.97595,62.59155,660.7842,2962.5205,1361.9418,37.05878,27.933424,853.23267,2837.8833,1936.4288,672.40356,4682.742,14.482961
58748.82,60205.89,200857.48,28765.71,30583.64,111998.914,30.231443,32.898514,872.6583,4758.79,632.1114,13.223095,53.3087,1074.0094,3884.0835,3075.8562,375.02713,499.17966,14.558777
71833.086,71040.92,220635.95,58018.984,58502.754,136015.84,144.51271,321.42532,1231.7292,4562.013,1726.7883,67.03543,3519.9004,1897.0925,3555.4192,7898.7983,1860.9199,9291.227,14.630513
62151.22,63417.793,201589.33,28599.072,29737.053,106842.29,136.80864,166.7346,712.8807,3551.8794,788.19464,48.48118,131.62163,882.5564,3754.6277,3527.4412,924.75195,3808.9822,14.773161
28391.584,29908.334,182148.98,33766.867,35564.83,107472.59,207.68942,608.6852,804.4926,1012.2493,695.6676,98.491684,72.60541,67.75608,183.63531,465.61185,203.5505,1380.0337,14.779945
50874.45,51843.492,212953.2,41361.434,43266.105,121672.266,77.42604,240.42805,900.9082,4175.836,1020.48413,26.195879,177.59532,722.72156,2901.0278,1127.7396,395.1132,2341.2083,14.794161
77709.7,78512.805,211729.78,37401.06,38770.637,115264.34,-18.242332,68.96836,642.82776,3684.9514,1002.64215,18.639977,-15.877938,720.886,2770.6086,13677.533,1959.5326,1688.5924,14.879346
49545.984,50711.215,202798.03,30013.453,31126.895,110845.02,-13.5530815,132.53714,440.7078,1169.9684,933.2183,37.630306,111.687874,249.32877,1304.7903,850.9827,590.77386,5602.167,14.881953
51974.113,52479.78,206074.84,30386.115,31806.62,114164.19,-70.85345,33.471256,642.71344,3919.1282,478.43353,-4.6807795,121.096466,719.00446,2962.6123,4444.8,939.64716,896.04877,14.9226885
64425.945,65119.48,210455.7,36276.145,37356.855,116496.984,127.84653,123.151955,450.76675,2622.4355,1287.0852,14.772777,136.73288,385.84302,1765.3423,8138.154,1857.3864,6573.1265,15.028818
59704.652,61103.14,200504.45,28661.281,30697.053,110943.125,27.763336,-6.00453,638.2844,2919.0593,544.421,27.62644,153.16182,660.49475,2767.029,270.24786,282.51834,1332.5757,15.056105
74344.85,75868.02,210577.7,36800.016,38313.777,111899.42,147.177,146.94023,113.63177,380.14645,548.4158,-15.740269,-18.631338,-22.210758,184.47742,617.7698,344.54916,5837.228,15.261394
51953.793,53113.38,198122.27,26293.844,27657.568,88043.54,142.55809,33.343945,739.129,3325.0798,658.3824,46.528328,131.66899,863.83325,3086.2856,1133.6652,367.82907,877.1852,15.324224
77186.89,76879.45,207970.25,35378.914,36549.344,114287.25,161.65988,224.46312,234.89818,-104.135704,673.3651,31.166082,146.98462,4.258261,48.745514,726.98303,730.0273,7112.995,15.388506
48428.543,48390.516,214242.69,50606.42,52522.73,138783.64,-29.679531,143.80202,622.2171,3043.6675,579.0561,44.528725,56.617752,714.6449,2876.2473,611.8443,102.072784,1851.2977,15.39609
71575.85,70141.24,220603.34,58886.867,59335.688,148701.36,78.92431,169.8597,324.804,362.50467,337.8396,1.0248274,119.43479,108.11877,527.5514,725.73267,117.91804,2807.5796,15.464434
62413.895,63481.22,217560.08,49755.47,54209.836,120803.664,51.766212,131.70618,-19.042938,-103.56384,-145.7671,21.823092,-7.5718493,-6.51638,-123.62765,162.08794,-51.37209,-105.353546,15.796122
58663.594,60001.906,206133.72,31512.277,32323.11,110775.75,22.977148,34.936905,1076.4692,4744.4365,1565.7527,7.214238,185.50644,1171.7092,4289.659,9043.988,2047.0011,3077.7588,15.867426
79338.875,79299.164,213149.11,38423.363,39418.96,118053.92,-61.53213,205.17175,59.032917,257.0991,970.7323,55.869137,-43.090706,-21.109398,77.92885,898.8213,697.13824,8191.538,15.909704
35561.86,36804.453,189641.17,39127.934,41746.2,120852.67,572.14966,2812.2358,2728.8015,4688.394,2163.289,422.48798,607.44586,471.77573,548.66077,718.01324,990.9649,3341.5776,16.204025
68014.625,64205.535,223033.98,51655.49,48097.586,130461.87,448.75662,1988.5287,1792.7811,3083.6978,1667.5437,212.96405,735.57074,412.1106,804.35986,2403.1265,927.95935,5527.419,16.571026
40630.63,41203.234,208520.89,41770.87,44293.266,123890.836,57.850117,136.69003,528.0785,2921.0037,316.03778,-68.10075,-19.365578,612.9068,2574.245,945.5726,173.28171,1074.3018,16.951921
67743.71,66296.69,218478.88,47691.105,48749.035,123474.414,128.4405,245.0803,21.159027,73.468704,1183.5214,33.278996,-4.6348896,67.32371,-23.771017,1077.0199,770.8531,10076.105,16.984608
73830.22,72988.79,213397.69,41910.934,42671.496,121026.17,115.477585,276.20297,-6.9766917,160.24284,1596.9762,-1.3766998,77.449524,56.02948,-5.13968,1296.0988,846.52496,11871.682,17.325937
73085.93,74118.414,205429.92,32401.027,33591.32,112212.25,-12.066245,30.548452,303.86652,1210.3988,326.63556,123.37431,90.75586,162.71674,866.54083,473.44897,30.790276,13.538604,17.334473
33645.555,35429.816,192383.73,35795.926,38231.668,118536.96,114.34635,322.28452,122.55743,843.89374,124.22196,20.254658,33.072544,164.22102,356.79547,345.68344,68.52903,227.72542,17.369465
79899.09,81054.22,205549.62,32560.455,34224.246,117869.99,148.00563,-47.178448,161.48279,-1.3152779,581.01196,13.772506,11.47846,-36.390766,-87.92523,928.7204,583.4999,6531.7026,17.43237
53168.637,53719.12,205805.17,31968.777,33453.38,106816.18,141.07686,399.08063,775.95685,2388.6592,484.97916,23.141743,254.30077,681.5582,1962.761,861.31146,376.20786,1571.1161,17.53925
63313.582,63701.707,216969.89,51337.34,52696.484,128023.164,70.887856,88.62341,662.9573,3153.865,967.75867,6.5724454,-30.012056,791.4648,2986.4292,1914.3578,369.9789,564.12866,17.541058
60103.98,60032.195,208401.02,34649.875,35233.387,112276.98,89.87948,59.954052,803.6349,3827.8018,680.3418,-13.58344,138.86078,964.14886,3030.0706,6919.467,1609.9305,1227.9287,17.823633
